Report_ID,Company,Mine_Site,Report_Date,Shift_Covered,HPI_Reported,Number_of_HPIs,Dominant_Incident_Type,Max_Severity_Level,Primary_Location,Dominant_Causal_Factor,Dominant_Root_Cause,Daily_Production_tons,Major_Equipment_Involved,Equipment_Availability_pct,Geological_Condition,Seismic_Activity,Weather,Dominant_Task,Worker_Category_Most_Affected,Workforce_Size,Overtime_Hours,Year,Environmental_Risk_Score,Task_Complexity_Score,Month,Day_of_Week,Is_Weekend,Quarter,Severity_Score,Days_Since_Last_Incident,Weather_Risk_Score,Equipment_Age_Risk,Worker_Training_Level,Training_Risk_Score,Shift_Risk_Score,Composite_Risk_Score,Location_Incident_Count,Days_Since_Last_Same_Location,Season,Equipment_Risk_Score,Task_Shift_Risk,Previous_Incident_Exposure,Weather_Task_Risk,Composite_Safety_Index,Risk_Category
IN-15-06-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,6/15/2020,Day,Yes,1,Vehicle Incident,High Potential,Mining Area,Human Error / Fatigue,System Failure,5840.63665,Vehicle,79.78910434,Moderate,Low,Clear,Unknown,Unknown,414,39.32922216,2020,2,3,6,0,0,2,2,2.681829456,1,2,Basic,4,2,2.15,179,999,Major Rainy Season,3,1,0,1,37.99313513,Medium Risk
IN-13-07-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,7/13/2020,Day,Yes,1,Near Miss,Critical Potential,Mining Area,Traffic Management Failure,Design Flaw,6681.966073,Vehicle,69.98621216,Moderate,Low,Clear,Unknown,Unknown,364,50,2020,1,3,7,0,0,3,3,8.585796693,1,5,Basic,4,2,2.25,179,28,Major Rainy Season,3,1,1,1,49.97326475,Medium Risk
IN-25-08-2020-010,Noble Gold Bibiani Ltd,Bibiani Mine,8/25/2020,Unknown,Yes,1,Personal Injury,Medium,Mining Area,Human Error / Fatigue,Human Error,6697.207549,Vehicle,82.92427788,Moderate,Low,Clear,Unknown,Unknown,417,28.98849437,2020,1,3,8,1,0,3,1,9.326226512,1,3,Intermediate,3,3,1.6,179,43,Major Rainy Season,3,1,1,1,30.30380431,Medium Risk
IN-01-04-2021-010,Newmont,Tarkwa,4/1/2021,Day,Yes,1,Fire,Medium,Mining Area,Inadequate Supervision,Human Behaviour,29063,Crusher,88.7,Highly Fractured,Moderate,High Dust,Welding,Driver,961,1,2021,3,5,4,3,0,2,1,1.61354005,,5,Advanced,2,2,,179,219,Minor Rainy Season,2,3,0,3,46.00836494,Medium Risk
IN-20-04-2021-010,Gold Fields,Damang,4/20/2021,Night,Yes,1,Chemical,Low,Mining Area,Design / Layout Deficiency,Human Behaviour,12083,Excavator,96.3,Moderate Fracturing,Moderate,Clear,Equipment Operation,Driver,1081,2,2021,4,4,4,1,0,2,0,15.77111361,1,4,Intermediate,3,4,2.25,179,19,Minor Rainy Season,4,4,1,1,49.19432434,Medium Risk
IN-27-04-2021-010,Gold Fields,Obuasi,4/27/2021,Day,Yes,1,Fall of Ground,Low,Mining Area,Poor Maintenance,Training Deficiency,6524,Truck,67.5,Stable,Low,Rain,Maintenance,Driver,238,18,2021,1,4,4,1,0,2,0,5.03459199,4,2,Intermediate,3,2,1.6,179,7,Minor Rainy Season,2,3,1,1,29.44183791,Low Risk
IN-23-05-2021-010,AngloGold Ashanti,Tarkwa,5/23/2021,Day,No,0,Equipment,Critical Potential,Mining Area,Unsafe Driving,Environmental Condition,31588,Crusher,65.2,Stable,Moderate,Extreme Heat,Driving,Operator,899,44,2021,1,2,5,6,1,2,3,0.408470047,4,3,Intermediate,3,2,2.35,179,26,Minor Rainy Season,2,1,0,3,54.50611827,High Risk
IN-25-05-2021-010,Newmont,Tarkwa,5/25/2021,Day,No,0,Equipment,Low,Mining Area,Human Error,Environmental Condition,24982,Loader,72,Stable,Moderate,Clear,Lifting,Mechanic,783,36,2021,1,3,5,1,0,2,0,19.9911732,1,2,Basic,4,2,1.2,179,2,Minor Rainy Season,2,3,0,1,14.57655113,Low Risk
IN-06-06-2021-010,Gold Fields,Ahafo,6/6/2021,Day,Yes,1,Chemical,Medium,Mining Area,Environmental Conditions,Training Deficiency,5105,Crusher,68.5,Highly Fractured,Low,High Dust,Driving,Driver,558,25,2021,4,2,6,6,1,2,1,5.555933068,,2,Basic,4,2,,179,12,Major Rainy Season,2,1,1,3,19.00801151,Low Risk
IN-12-06-2021-010,AngloGold Ashanti,Damang,6/12/2021,Day,No,0,Electrical,Medium,Mining Area,Design / Layout Deficiency,Equipment Failure,38397,Loader,79.8,Moderate Fracturing,Low,Clear,Equipment Operation,Welder,712,4,2021,1,4,6,5,1,2,1,5.705199967,1,4,Intermediate,3,2,1.65,179,6,Major Rainy Season,2,3,0,1,32.7685819,Medium Risk
IN-05-07-2021-010,Gold Fields,Ahafo,7/5/2021,Day,Yes,1,Fire,Low,Mining Area,Poor Maintenance,Training Deficiency,26932,Excavator,87.3,Moderate Fracturing,Moderate,Fog,Lifting,Driver,598,21,2021,3,3,7,0,0,3,0,0.601391529,2,5,Basic,4,2,1.8,179,23,Major Rainy Season,4,3,1,1,33.10296245,Medium Risk
