Model,Accuracy,F1,Recall,Precision,ROC-AUC,PR-AUC,MSE,MAE,RMSE,R2
XGBoost,0.5912408759124088,0.6585365853658537,0.675,0.6428571428571429,0.6328947368421052,0.7493457230354383,0.2551713287830353,,0.5051448592067778,-0.05028736591339111
RandomForest,0.583941605839416,0.6815642458100558,0.7625,0.6161616161616161,0.6475877192982457,0.7744735346419084,0.2216199423953776,,0.47076527314084843,0.08781037306604333
GradientBoosting,0.6204379562043796,0.6941176470588235,0.7375,0.6555555555555556,0.6322368421052631,0.7427667480627335,0.23734702638825142,,0.4871827443457449,0.023077557394497572
SVM,0.583941605839416,0.7076923076923077,0.8625,0.6,0.5857456140350877,0.6437634562489742,0.23896908614678936,,0.4888446441833943,0.016401145199761102
MLP,0.5912408759124088,0.654320987654321,0.6625,0.6463414634146342,0.6421052631578948,0.757666368726343,0.25347982165008875,,0.5034677960407088,-0.04332516941897269
LSTM,0.583941605839416,0.6666666666666666,0.7125,0.6263736263736264,0.6339912280701755,0.7491551730320718,0.23482029139995575,,0.48458259502375417,0.033477723598480225
BiLSTM,0.6204379562043796,0.7045454545454546,0.775,0.6458333333333334,0.6317982456140352,0.7428859327788537,0.24169209599494934,,0.4916219034938835,0.005193352699279785
GRU,0.5912408759124088,0.6818181818181818,0.75,0.625,0.6366228070175438,0.7448924722168633,0.237849161028862,,0.48769781733042644,0.021010875701904297
CNN-LSTM,0.5401459854014599,0.6440677966101694,0.7125,0.5876288659793815,0.6160087719298246,0.7407536956588079,0.2393842339515686,,0.4892690813361995,0.014692544937133789
XGBoost-LSTM-Normal,0.5985401459854015,0.6583850931677019,0.6625,0.654320987654321,0.6366228070175438,0.7489784933349015,0.2560950815677643,,0.5060583776282774,-0.05408942699432373
XGBoost-LSTM-Absolute,0.6131386861313869,0.7225130890052356,0.8625,0.6216216216216216,0.605701754385965,0.6976291654683278,0.28010913729667664,,0.529253377218017,-0.15293145179748535
XGBoost-LSTM-Squared,0.6204379562043796,0.7291666666666666,0.875,0.625,0.6256578947368421,0.7285776993383548,0.2752128541469574,,0.524607333295063,-0.13277840614318848
XGBoost-LSTM-Log,0.6131386861313869,0.7336683417085427,0.9125,0.6134453781512605,0.6122807017543859,0.7154277961648898,0.2869243621826172,,0.5356532107461106,-0.1809830665588379
XGBoost-BiLSTM-Normal,0.5912408759124088,0.6626506024096386,0.6875,0.6395348837209303,0.6313596491228071,0.7298855267433049,0.2576219439506531,,0.5075647189774454,-0.06037402153015137
XGBoost-BiLSTM-Absolute,0.635036496350365,0.7340425531914894,0.8625,0.6388888888888888,0.6269736842105263,0.7295545398140406,0.2746603190898895,,0.5240804509709264,-0.13050413131713867
XGBoost-BiLSTM-Squared,0.6131386861313869,0.7225130890052356,0.8625,0.6216216216216216,0.6325657894736842,0.7465341180199199,0.27804476022720337,,0.5272994976549886,-0.14443457126617432
XGBoost-BiLSTM-Log,0.6204379562043796,0.7291666666666666,0.875,0.625,0.6230263157894738,0.7284251237347341,0.27807822823524475,,0.5273312319929901,-0.14457225799560547
